,,,,,
,"product_sku","product_node_id","nutrition_table_item","amount_per_serving","percent_daily_value "
,,,,,
1,"0099",588,"Serving Size:","1 Capsule",
2,"0099",588,"Servings Per Container:",90,
3,"0099",588,"5-HTP (5-hydroxytryptophan) (<i>Griffonia simplicifolia</i>) (Seed)","50 mg*"," "
4,"0105",589,"Serving Size:","1 Vcap&ampreg;",
5,"0105",589,"Servings Per Container:",60,
6,"0105",589,"5-HTP (5-hydroxytryptophan) (<i>Griffonia simplicifolia</i>) (Seed)5-HTP (5-hydroxytryptophan) (<i>Griffonia simplicifolia</i>) (Seed)","100 mg*100 mg*"," "
7,"1252",622,"Serving Size:","3 Softgels",
8,"1252",622,"Servings Per Container:",80,
9,"1252",622,"Vitamin D3 (as Cholecalciferol) (from Lanolin)","600 IU",150%
10,"1252",622,"Calcium (from Calcium Carbonate & Citrate)","1.0 g (1,000 mg)",100%
11,"1252",622,"Magnesium (from Magnesium Oxide & Citrate)","500 mg",125%
12,"1252",622,"Zinc (from Zinc Oxide)","10 mg",67%
13,"1253",623,"Serving Size:","4 Capsules",
14,"1253",623,"Servings Per Container:",30,
15,"1253",623,"Calcium (Hydroxyapatite)","1.0 g",100%
16,"1253",623,"Phosphorus (From Calcium Hydroxyapatite)","500 mg",50%
17,"1276",641,"Serving Size:","2 Vcaps&ampreg;",
18,"1276",641,"Servings Per Container:",50,
19,"1276",641,"Vitamin D (as Ergocalciferol - a vegetarian source)","400 IU",100%
20,"1276",641,"Calcium (from Fossilized Coral Calcium)","500 mg",50%
21,"1276",641,"Magnesium (from Magnesium Oxide, Citrate, and Aspartate)","250 mg",60%
22,"1276",641,"<b>Fossilized Coral Calcium</b>","<b>1.43 g (1,430 mg)</b>"," "
23,"1434",774,"Serving Size:","1 Capsule",
24,"1434",774,"Servings Per Container:",90,
25,"1434",774,"Sodium","8 mg","<1% "
26,"1434",774,"Calcium (from Citrimax®)","83 mg",8%
27,"1434",774,"Iodine (from Kelp)","150 mcg",100%
28,"1434",774,"ChromeMate®  Chromium (from Chromium Polynicotinate)","100 mcg",80%
29,"1434",774,"Potassium","120 mg",4%
30,"1434",774,"Super Citrimax® ; Garcinia cambogia  (fruit) Extract","750 mg","† "
31,"1434",774,"Panax Ginseng Powder (root)","100 mg","† "
32,"1452",741,"Serving Size:","1 Tablet",
33,"1452",741,"Servings Per Container:",180,
34,"1452",741,"Iodine (from Potassium Iodide)","225 mcg",150%
35,"1452",741,"Sodium (from Sodium Alginate)","5 mg","<1% "
36,"1452",741,"Potassium (from Potassium Chloride and Iodide)","99 mg",2%
37,"1452",741,"Sodium Alginate","100 mg","† "
38,"1552",801,"Serving Size:","1 Capsule",
39,"1552",801,"Servings Per Container:",120,
40,"1552",801,"Zinc (from Zinc Picolinate)","50 mg",333%
41,"1715",617,"Serving Size:","1 Softgel",
42,"1715",617,"Servings Per Container:",100,
43,"1715",617,"Calories",5," "
44,"1715",617,"Calories from Fat",5," "
45,"1715",617,"Total Fat","0.5 g","<1% "
46,"1715",617,"Saturated Fat","0 g",0%
47,"1715",617,"Polyunsaturated Fat","0.3 g","† "
48,"1715",617,"Gamma Linolenic Acid (GLA)","70 mg","† "
49,"1715",617,"Alpha Linolenic Acid (ALA)","52 mg","† "
50,"1715",617,"Monounsaturated Fat","0.2 g","† "
51,"1715",617,"Black Currant Oil (Ribes nigrum) (seed)","500 mg","† "
52,"1718",633,"Serving Size:","3 Softgels",
53,"1718",633,"Servings Per Container:",40,
54,"1718",633,"Calories",30," "
55,"1718",633,"Calories from Fat",25," "
56,"1718",633,"Total Fat","3 g",5%
57,"1718",633,"Saturated Fat","2.5 g",13%
58,"1718",633,"Trans Fat","0 g","† "
59,"1718",633,"Polyunsaturated Fat","45 mg","† "
60,"1718",633,"Monounsaturated Fat","175 mg","† "
61,"1718",633,"Protein","0.7 g",1%
62,"1718",633,"<b>Organic Virgin Coconut Oil</b>","<b>3.0 g (3,000 mg)</b>","<b>†</b> "
63,"1725",634,"Serving Size:","1 TBSP (15 mL)",
64,"1725",634,"Servings Per Container:",23,
65,"1725",634,"<b>Calories</b>",120," "
66,"1725",634,"Calories from Fat",120," "
67,"1725",634,"<strong>Total Fat</strong>","14 g",22%
68,"1725",634,"Saturated Fat","12 g",60%
69,"1725",634,"Trans Fat","0 g"," "
70,"1725",634,"Polyunsaturated Fat","0.2 g"," "
71,"1725",634,"Monounsaturated Fat","0.8 g"," "
72,"1727",630,"Serving Size:","3 Softgels",
73,"1727",630,"Servings Per Container:",30,
74,"1727",630,"Calories",27," "
75,"1727",630,"Calories from Fat",27," "
76,"1727",630,"Total Fat","3 g",5%
77,"1727",630,"Saturated Fat","0 g",0%
78,"1727",630,"Polyunsaturated Fat","3 g"," "
79,"1727",630,"Safflower Oil ( High Linoleic Acid)","3.0 g (3,000 mg)"," "
80,"1727",630,"<b>Conjugated Linoleic Acid (CLA)</b>","<b>2.4 g (2,400 mg)</b>"," "
81,"1727",630,"Cis-9, Trans-11 Isomer","1.11 (1,110 mg)"," "
82,"1727",630,"Trans-10, Cis-12 Isomer","1.11 g (1,110 mg)"," "
83,"1727",630,"Other Isomers","180 mg"," "
84,"1823",740,"Serving Size:","1 Vcap®",
85,"1823",740,"Servings Per Container:",90,
86,"1823",740,"Policosanol (from Sugar Cane)","10 mg *"," "
87,"1840",748,"Serving Size:","2 Softgels",
88,"1840",748,"Servings Per Container:",50,
89,"1840",748,"Calories",20," "
90,"1840",748,"Calories from Fat",20," "
91,"1840",748,"Total Fat","2 g","3%* "
92,"1840",748,"Saturated Fat","0.5 g","3%* "
93,"1840",748,"Trans Fat","0 g","† "
94,"1840",748,"Polyunsaturated Fat","1 g","† "
95,"1840",748,"Monounsaturated Fat","0.5 g","† "
96,"1840",748,"<b>Pumpkin Seed Oil (<i>Curcurbita pepo</i>)</b>","<strong>2.0 g (2,000 mg)</strong>","<strong>†</strong> "
97,"1905",766,"Serving Size:","2 Vcaps®",
98,"1905",766,"Servings Per Container:",30,
99,"1905",766,"<b>Slimaluma® Extract</b>","<b>500 mg*</b>"," "
100,"1905",766,"(<i>Caralluma fimbriata</i>) (Aerials) (min. 25% Pregnane Glycosides)",," "
101,"1905",766,"<b>Green Tea Extract</b>","<b>200 mg*</b>"," "
102,"1905",766,"(<i>Camellia sinensis</i>) (Leaf) (min. 98% Total Polyphenols,",," "
103,"1905",766,"80% Total Catechins and 50% EGCg) (Contains 2 mg of naturally",," "
104,"1905",766,"occurring caffeine)",," "
105,"1905",766,"<b>Yerba Mate Extract</b> (<i>Ilex paraguariensis</i>)","<b>200 mg*</b>"," "
106,"1905",766,"(Leaf) (min. 20% Total Polyphenols) (Contains 18 mg of naturally occurring",," "
107,"1905",766,"caffeine)",," "
108,"1908",789,"Serving Size:","2 Vcaps®",
109,"1908",789,"Servings Per Container:",50,
110,"1908",789,"Vitamin B-6 (from Pyridoxine HCl)","25 mg",1250%
111,"1908",789,"Potassium (from Potassium Chloride)","99 mg",3%
112,"1908",789,"Uva Ursi Extract (<i>Arctostaphylos uva-ursi</i>)","200 mg","† "
113,"1908",789,"(Leaf) (Standardized to min. 20% Arbutin)",," "
114,"1908",789,"Dandelion (<i>Taraxacum officinale</i>) (Leaf)","120 mg","† "
115,"1908",789,"Goldenrod (<i>Solidago odora</i>) (Herb)","120 mg","† "
116,"1908",789,"Juniper (<i>Juniperus communis</i>) (Berries)","100 mg","† "
117,"1908",789,"Buchu (<i>Agathosma betulina</i>) (Leaf)","100 mg","† "
118,"1908",789,"Bladderwrack (<i>Fucus vesiculosus</i>) (Thallus)","50 mg","† "
119,"2004",605,"Serving Size:","3 Capsules",
120,"2004",605,"Servings Per Container:",40,
121,"2004",605,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
122,"2004",605,"L-Arginine","600 mg","† "
123,"2004",605,"L-Citrulline","100 mg","† "
124,"2004",605,"L-Norvaline","100 mg","† "
125,"2004",605,"L-Ornithine (from L-Ornithine HCl)","200 mg","† "
126,"2004",605,"Creatine Monohydrate (Micronized)","750 mg","† "
127,"2004",605,"Yerba Mate Extract (<i>liex paraguariensis</i>) (Leaf)<br />(Contains 8 mg of naturally occurring caffeine)","100 mg","† "
128,"2004",605,"Green Tea Extract (<i>Camellia sinensis</i>) (Leaf)<br />(60% Polyphenols, 40% Catechins) (&amplt;1 mg of naturally occurring caffeine)","100 mg","† "
129,"2004",605,"Guarana Standardized Extract (<i>Paullinia cupana</i>) (Seed)<br />(Contains 11 mg of naturally occurring caffeine)","50 mg","† "
130,"2004",605,"Gymnema Sylvestre Extract (GS4&ampreg;)<br />(25% Gymnenic Acid) (<em>Gymnema sylvestre</em>) (Leaf)","50 mg","† "
131,"2004",605,"Rhodiola Extract (<i>Rhodiola rosea</i>) (Root) (3% Rosavins)","25 mg","† "
132,"2004",605,"CoQ10 (Coenzyme Q10)","5 mg","† "
