,,,,,,
,"product_sku","product_node_id","nutrition_table_item","amount_per_serving","percent_daily_value ","Input Format"
1,"0099",588,"Serving Size:","1 Capsule",,1
2,"0099",588,"Servings Per Container:",90,,1
3,"0099",588,"5-HTP (5-hydroxytryptophan) (<i>Griffonia simplicifolia</i>) (Seed)","50 mg*"," ",1
4,"0105",589,"Serving Size:","1 Vcap&ampreg;",,1
5,"0105",589,"Servings Per Container:",60,,1
6,"0105",589,"5-HTP (5-hydroxytryptophan) (<i>Griffonia simplicifolia</i>) (Seed)5-HTP (5-hydroxytryptophan) (<i>Griffonia simplicifolia</i>) (Seed)","100 mg*100 mg*"," ",1
7,"1252",622,"Serving Size:","3 Softgels",,1
8,"1252",622,"Servings Per Container:",80,,1
9,"1252",622,"Vitamin D3 (as Cholecalciferol) (from Lanolin)","600 IU",150%,1
10,"1252",622,"Calcium (from Calcium Carbonate & Citrate)","1.0 g (1,000 mg)",100%,1
11,"1252",622,"Magnesium (from Magnesium Oxide & Citrate)","500 mg",125%,1
12,"1252",622,"Zinc (from Zinc Oxide)","10 mg",67%,1
13,"1253",623,"Serving Size:","4 Capsules",,1
14,"1253",623,"Servings Per Container:",30,,1
15,"1253",623,"Calcium (Hydroxyapatite)","1.0 g",100%,1
16,"1253",623,"Phosphorus (From Calcium Hydroxyapatite)","500 mg",50%,1
17,"1276",641,"Serving Size:","2 Vcaps&ampreg;",,1
18,"1276",641,"Servings Per Container:",50,,1
19,"1276",641,"Vitamin D (as Ergocalciferol - a vegetarian source)","400 IU",100%,1
20,"1276",641,"Calcium (from Fossilized Coral Calcium)","500 mg",50%,1
21,"1276",641,"Magnesium (from Magnesium Oxide, Citrate, and Aspartate)","250 mg",60%,1
22,"1276",641,"<b>Fossilized Coral Calcium</b>","<b>1.43 g (1,430 mg)</b>"," ",1
23,"1434",774,"Serving Size:","1 Capsule",,1
24,"1434",774,"Servings Per Container:",90,,1
25,"1434",774,"Sodium","8 mg","<1% ",1
26,"1434",774,"Calcium (from Citrimax®)","83 mg",8%,1
27,"1434",774,"Iodine (from Kelp)","150 mcg",100%,1
28,"1434",774,"ChromeMate®  Chromium (from Chromium Polynicotinate)","100 mcg",80%,1
29,"1434",774,"Potassium","120 mg",4%,1
30,"1434",774,"Super Citrimax® ; Garcinia cambogia  (fruit) Extract","750 mg","† ",1
31,"1434",774,"Panax Ginseng Powder (root)","100 mg","† ",1
32,"1452",741,"Serving Size:","1 Tablet",,1
33,"1452",741,"Servings Per Container:",180,,1
34,"1452",741,"Iodine (from Potassium Iodide)","225 mcg",150%,1
35,"1452",741,"Sodium (from Sodium Alginate)","5 mg","<1% ",1
36,"1452",741,"Potassium (from Potassium Chloride and Iodide)","99 mg",2%,1
37,"1452",741,"Sodium Alginate","100 mg","† ",1
38,"1552",801,"Serving Size:","1 Capsule",,1
39,"1552",801,"Servings Per Container:",120,,1
40,"1552",801,"Zinc (from Zinc Picolinate)","50 mg",333%,1
41,"1715",617,"Serving Size:","1 Softgel",,1
42,"1715",617,"Servings Per Container:",100,,1
43,"1715",617,"Calories",5," ",1
44,"1715",617,"Calories from Fat",5," ",1
45,"1715",617,"Total Fat","0.5 g","<1% ",1
46,"1715",617,"Saturated Fat","0 g",0%,1
47,"1715",617,"Polyunsaturated Fat","0.3 g","† ",1
48,"1715",617,"Gamma Linolenic Acid (GLA)","70 mg","† ",1
49,"1715",617,"Alpha Linolenic Acid (ALA)","52 mg","† ",1
50,"1715",617,"Monounsaturated Fat","0.2 g","† ",1
51,"1715",617,"Black Currant Oil (Ribes nigrum) (seed)","500 mg","† ",1
52,"1718",633,"Serving Size:","3 Softgels",,1
53,"1718",633,"Servings Per Container:",40,,1
54,"1718",633,"Calories",30," ",1
55,"1718",633,"Calories from Fat",25," ",1
56,"1718",633,"Total Fat","3 g",5%,1
57,"1718",633,"Saturated Fat","2.5 g",13%,1
58,"1718",633,"Trans Fat","0 g","† ",1
59,"1718",633,"Polyunsaturated Fat","45 mg","† ",1
60,"1718",633,"Monounsaturated Fat","175 mg","† ",1
61,"1718",633,"Protein","0.7 g",1%,1
62,"1718",633,"<b>Organic Virgin Coconut Oil</b>","<b>3.0 g (3,000 mg)</b>","<b>†</b> ",1
63,"1725",634,"Serving Size:","1 TBSP (15 mL)",,1
64,"1725",634,"Servings Per Container:",23,,1
65,"1725",634,"<b>Calories</b>",120," ",1
66,"1725",634,"Calories from Fat",120," ",1
67,"1725",634,"<strong>Total Fat</strong>","14 g",22%,1
68,"1725",634,"Saturated Fat","12 g",60%,1
69,"1725",634,"Trans Fat","0 g"," ",1
70,"1725",634,"Polyunsaturated Fat","0.2 g"," ",1
71,"1725",634,"Monounsaturated Fat","0.8 g"," ",1
72,"1727",630,"Serving Size:","3 Softgels",,1
73,"1727",630,"Servings Per Container:",30,,1
74,"1727",630,"Calories",27," ",1
75,"1727",630,"Calories from Fat",27," ",1
76,"1727",630,"Total Fat","3 g",5%,1
77,"1727",630,"Saturated Fat","0 g",0%,1
78,"1727",630,"Polyunsaturated Fat","3 g"," ",1
79,"1727",630,"Safflower Oil ( High Linoleic Acid)","3.0 g (3,000 mg)"," ",1
80,"1727",630,"<b>Conjugated Linoleic Acid (CLA)</b>","<b>2.4 g (2,400 mg)</b>"," ",1
81,"1727",630,"Cis-9, Trans-11 Isomer","1.11 (1,110 mg)"," ",1
82,"1727",630,"Trans-10, Cis-12 Isomer","1.11 g (1,110 mg)"," ",1
83,"1727",630,"Other Isomers","180 mg"," ",1
84,"1823",740,"Serving Size:","1 Vcap®",,1
85,"1823",740,"Servings Per Container:",90,,1
86,"1823",740,"Policosanol (from Sugar Cane)","10 mg *"," ",1
87,"1840",748,"Serving Size:","2 Softgels",,1
88,"1840",748,"Servings Per Container:",50,,1
89,"1840",748,"Calories",20," ",1
90,"1840",748,"Calories from Fat",20," ",1
91,"1840",748,"Total Fat","2 g","3%* ",1
92,"1840",748,"Saturated Fat","0.5 g","3%* ",1
93,"1840",748,"Trans Fat","0 g","† ",1
94,"1840",748,"Polyunsaturated Fat","1 g","† ",1
95,"1840",748,"Monounsaturated Fat","0.5 g","† ",1
96,"1840",748,"<b>Pumpkin Seed Oil (<i>Curcurbita pepo</i>)</b>","<strong>2.0 g (2,000 mg)</strong>","<strong>†</strong> ",1
97,"1905",766,"Serving Size:","2 Vcaps®",,1
98,"1905",766,"Servings Per Container:",30,,1
99,"1905",766,"<b>Slimaluma® Extract</b>","<b>500 mg*</b>"," ",1
100,"1905",766,"(<i>Caralluma fimbriata</i>) (Aerials) (min. 25% Pregnane Glycosides)",," ",1
101,"1905",766,"<b>Green Tea Extract</b>","<b>200 mg*</b>"," ",1
