SKU,Image,Featured Status,Name,Brand Name,Description Trimmed,List Price,Cost,Sell Price,Shippable,Weight,Weight Unit,Dimensions Unit,Length,Width,Height,Health Concerns,,Product Category,Package quantity,Default cart quantity
99,0099.5-HTP(90c).png,,5-HTP 50 mg - 90 Caps,NOW Foods,"Neurotransmitter Support Natural Source Supports Positive Mood* 5-HTP, the intermediate metabolite between the amino acid L-tryptophan and serotonin, is extracted from the bean of an African plant (Griffonia simplicifolia). &nbsp; Product FAQ's Related Products 5-HTP and Its Relationship to Serotonin",17.99,8.99,17.99,TRUE,0.18,LB,in,6,6,6,Mood Support || Sleep Support,2,Amino Acids,1,1
105,0105.5-HTP(60v).png,,5-HTP 100 mg - 60 Vcaps¨,NOW Foods,"Neurotransmitter Support Natural Source Supports Positive Mood* Vegetarian Formula 5-HTP, the intermediate metabolite between the amino acid L-tryptophan and serotonin, is extracted from the bean of an African plant (Griffonia simplicifolia). &nbsp; Product FAQ's Related Products 5-HTP and Its Relationship to Serotonin",19.99,9.99,19.99,TRUE,0.16,LB,in,6,6,6,Mood Support || Sleep Support,2,Amino Acids,1,1
2932,2932.8BillionAcid(120c).png,,Acidophilus & Bifidus 8 Billion - 120 Vcaps¨,NOW Foods,"Healthy Intestinal FloraPromotes Positive Probiotic BalanceHealthy Immune Support*A Dietary SupplementThis NOW product has been designed to provide a high potency, balanced blend of the two prominent species of resident intestinal bacteria. &nbsp;Regular intake of beneficial probiotics can aid in maintaining healthy intestinal flora.*",25.99,12.99,25.99,TRUE,0.29,LB,in,6,6,6,Digestive Support,2,Digestive Support,1,1
2930,2930.8BillionAcid(60c).png,,Acidophilus and Bifidus 8 Billion - 60 Vcaps¨,NOW Foods,"Healthy Intestinal FloraPromotes Positive Probiotic BalanceHealthy Immune Support*A Dietary SupplementThis NOW product has been designed to provide a high potency, balanced blend of the two prominent species of resident intestinal bacteria.&nbsp; Regular intake of beneficial probiotics can aid in maintaining healthy intestinal flora.*",13.99,6.99,13.99,TRUE,0.15,LB,in,6,6,6,Digestive Support,2,Digestive Support,1,1
3355,,,Acai 500 mg - 100 Vcaps¨,NOW Foods,"Freeze-Dried for Freshness Super Fruit Antioxidant 500 mg Supports Healthy Heart &; Blood Vessels Supports Healthy Immune &; Inflammatory Responses* A Dietary Supplement Vegetarian Formula &nbsp;&nbsp;&nbsp; &nbsp;Acai Berries, indigenous to the Brazilian rainforest, are one of the planet's most remarkable and nutritious fruits. &nbsp;Acai Berries naturally contain Vitamin C and are an excellent source of polyphenols, including rutin, anthocyanins, and catechins. &nbsp;Acai is also naturally rich in ellagic acid. &nbsp;These and other antioxidant compounds protect tissues from free radical attack, a key factor in healthy aging. &nbsp;The nutrients and antioxidants in Acai also help support healthy immune and inflammatory response through their modulatory effects on Nitric Oxide (NO) production. &nbsp;Each of these effects is also important for the support of healthy heart and blood vessels.* &nbsp;NOW uses only solvent-free, freeze-dried Acai Berries to ensure that all the nutrients present in fresh Acai are retained.",19.99,9.99,19.99,TRUE,0.26,LB,in,6,6,6,General Health & Wellness || Antioxidant,2,Antioxidant,1,1
4804,4804.Acai(16oz).png,,Acai Liquid Concentrate - 16 oz.,NOW Foods,"Liquid Concentrate Super Fruit Antioxidant Equivalent to 35,000 mg of Fresh Acai per serving Supports Healthy heart &; Blood Vessels Supports Healthy Immune &; Inflammatory Responses* Delicious, Fresh Taste A Dietary Supplement Vegetarian Product Acai Berries, indigenous to the Brazillian rainforest, are one of the planet's most remarkable and nutritious fruits. &nbsp;Acai Berries naturally contain Vitamin C and are an excellent source of polyphenols, including rutin, anthocyanins, and catechins. &nbsp;Acai is also naturally rich in ellagic acid. &nbsp;These and other antioxidant compounds protect tissues from free radical attack, a key factor in healthy aging. &nbsp;The nutrients and antioxidants in Acai also help support healthy immune and inflammatory response through their modulatory effects on Nitric Oxide (NO) production. &nbsp;Each of these effects is also important for the support of healthy heart and blood vessels.* &nbsp;NOW uses only solvent-free, freeze-dried Acai Berries to ensure that the nutrients present in fresh Acai are retained.",19.99,9.99,19.99,TRUE,1.25,LB,in,6,6,6,General Health & Wellness || Antioxidant,2,Antioxidant,1,1
75,0075_Acetyl-L Carnitine_50v.png,,Acetyl-L Carnitine 500 mg - 50 Vcaps¨,NOW Foods,"Cognitive&nbsp;SupportHighest Grade AvailableTransports Fatty Acids &; Boosts Cellular Energy*A Dietary SupplementVegetarian FormulaAcetyl-L-Carnitine is a modified amino acid that supports cellular energy production by assisting in the transport of fat into the mitochondria where it is oxidized and converted into ATP (chemical energy for the cell).&nbsp; Acetyl L-Carnitine is&nbsp;a highly bioavailable form of L-Carnitine that can cross the blood-brain barrier, where it exerts an antioxidant effect, helps to maintain healthy cellular energy metabolism and supports brain function.*Product&nbsp;FAQ'sL-Carnitine Testing &; Purity",18.99,9.49,18.99,TRUE,0.16,LB,in,6,6,6,Brain & Memory Support,2,Amino Acids,1,1
2980,2980.AcidComfort(90L).png,,Acid Comfortª - 90 Lozenges,NOW Foods,"Digestive HealthNatural Acid NeutralizerHelps Alleviate Occasional Acid Indigestion*A Dietary SupplementMint Free&nbsp;Acid Comfort&trade; is a unique proprietary formulation of acid buffering agents that can be helpful in the alleviation of occasional acid indigestion.*&nbsp; Acid Comfort&trade; is an all-natural dietary supplement, containing no artificial flavors or colors.",12.99,6.49,12.99,TRUE,0.481,LB,in,6,6,6,Digestive Support,2,Digestive Support,1,1
3875,,,ADAM Superior Men's Multiple Vitamin - 60 Tabs,NOW Foods,"Superior Men's Multiwith Saw Palmetto, Lycopene, Lutein, CoQ10, ZMA&reg; &; Ginkgo BilobaA Dietary SupplementVegetarian Formula&nbsp;Niacin - Forms and SafetyA Review of Folic Acid SafetyDisintegration of TabletsRead more about multi-vitamin formulas from Your Health Professor",19.99,9.99,19.99,TRUE,0.39,LB,in,6,6,6,Men's Health ||General Health & Wellness,2,Vitamins,1,1
2622,2622.Alfalfa(500t).png,,Alfalfa 650 mg - 500 Tabs,NOW Foods,"Green Superfood 10 Grain Rich in Vitamins &#38; Trace Minerals Gluten Free A Dietary Supplement Vegetarian Formula &nbsp;&nbsp; Alfalfa is a green superfood that is rich in vitamins, minerals and chlorophyll.&nbsp; It is an excellent source of balanced nutritional content and has been used for many centuries.&nbsp; The ancient Arabs used Alfalfa as a feed for their horses, claiming that it made their horses faster and stronger.&nbsp; After using Alfalfa grass themselves, they became so convinced of its health benefits that they named it ""Alfalfa"" which in Arabic means ""Father of All Foods"". Read FAQ's",15.99,7.99,15.99,TRUE,0.97,LB,in,6,6,6,General Health & Wellness,2,Green Foods,1,1
3036,3036.AloeVera(100s).png,,Aloe Vera 5000 mg - 100 Softgels,NOW Foods,"Supports Digestive Health 5000 mg Equivalency High Level of Mucopolysaccharides Supports Healing Process* A Dietary Supplement &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aloe Vera contains a variety of nutrients, including vitamins, minerals, enzymes and amino acids.&nbsp; In particular, Aloe Vera is a source of mucopolysaccharides, also known as glycosaminoglycans (GAGs), which are thought to be its active component.&nbsp; Numerous scientific studies have demonstrated the ability of Aloe to support the healing process.&nbsp; In addition, Aloe Vera has been shown to support a healthy digestive system.*",10.99,5.49,10.99,TRUE,0.3,LB,in,6,6,6,Digestive Support,2,Digestive Support,1,1
3030,3030.AloeVera(4oz).png,,Aloe Vera Concentrate - 4 oz.,NOW Foods,"Equivalent to 1.25 Gallons of JuicePleasant TastingVegetarian ProductThis Aloe Vera Concentrate is made from aloe leaves that are washed, sanitized, and sliced open by hand to obtain the cleanest and most optimal product.&nbsp; This 40:1 concentrate contains active polysaccharides which guarantee authentic potent Aloe Vera.Organic Aloe Vera Concentrate Quality",9.99,4.99,9.99,TRUE,0.34,LB,in,6,6,6,Digestive Support,2,Digestive Support,1,1
3085,,,Alpha GPC 300 mg - 60 Vcaps¨,NOW Foods,"Cognitive Support Bioavailable Source of Choline Supports Mental Acuity* A Dietary Supplement Vegetarian Formula Alpha GPC is a natural physiological precursor to acetyl-choline, a neurotransmitter that is involved in memory and other cognitive functions. &nbsp;Alpha GPC is more bioavailable than other forms of choline and is known to cross the blood brain barrier into the brain. &nbsp;In the brain and other neural tissues, Alpha GPC becomes a constituent of cell membranes. &nbsp;Clinical studies have demonstrated that supplementation with Alpha GPC can increase the brain's synthesis of acetyl-choline. &nbsp;In this way, it helps to support cognitive function and mental acuity.",37.99,18.99,37.99,TRUE,0.18,LB,in,6,6,6,Brain & Memory Support,2,Mental Fitness/Sleep and Mood Support,1,1
